,Unnamed: 0,victim.victim_id,attribute.confidentiality.data_disclosure,victim.orgsize,victim.country,action.social.variety,timeline.incident.day,timeline.incident.month,timeline.incident.year,action.error.variety,action.hacking.variety,action.malware.variety,action.misuse.variety,action.physical.variety,victim.state,victim.secondary.victim_id,action.environmental.variety,targeted,incident_id,reference,confidence,victim.employee_count,victim.government,victim.industry,victim.region,victim.revenue.amount,victim.revenue.iso_currency_code,impact.iso_currency_code,impact.loss.amount,impact.loss.max_amount,impact.loss.min_amount,impact.overall_amount,impact.overall_max_amount,impact.overall_min_amount,impact.overall_rating,security_incident,victim.industry2,victim.industry3,victim.orgsize.1,code,NAICS industry
0,0,united states department of veterans affairs,Yes,Unknown,US,,9.0,4.0,2010,,,,Privilege abuse,,MO,,,,0001AA7F-C601-424A-B2B8-BE6C9F5164E7,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
5,5,united states department of veterans affairs,Yes,Unknown,US,,3.0,2.0,2014,Misdelivery,,,,,PA,,,,00163384-B4D7-46D5-9E6F-543DFB00F598,http://vcdb.org/pdf/va-security-feb-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6,6,united states department of veterans affairs,Yes,Unknown,US,,3.0,2.0,2014,Misdelivery,,,,,PA,,,,00163384-B4D7-46D5-9E6F-543DFB00F598,http://vcdb.org/pdf/va-security-feb-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
7,7,lexington medical center,Yes,Unknown,US,,17.0,2.0,2017,,Unknown,,,,SC,,,Unknown,9eda6e80-de98-11e7-9424-7b935f12be98,http://wach.com/news/local/lexington-medical-center-hit-with-employee-data-breach,Medium,101 to 1000,,622110,"19,201,019,021",,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
13,13,university hospitals,Yes,Unknown,US,,,,2017,,,,,Theft,OH,,,,d2f15020-8c28-11e7-944b-11adeb58a7b0,http://www.news5cleveland.com/news/local-news/cleveland-metro/local-nurse-charged-after-using-credit-card-stolen-from-patient,Medium,10001 to 25000,,622110,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
14,14,internal revenue service,Yes,Unknown,US,,,2.0,2012,,,,Data mishandling,,,,,,003F5B6A-CA75-4694-AA76-FE9498FF0C3E,http://legalinsurrection.com/2014/06/irs-admits-leaking-personal-information-in-prop-8-debate/,,50001 to 100000,Unknown,921130,19021,,,,,,,,,,Unknown,Confirmed,92,921,Unknown,921130,Public Finance Activities
22,22,university of pennsylvania health system,Yes,Unknown,US,,,6.0,2014,,,,,Theft,PA,,,,00C84D6A-CDB8-4A5B-A1A6-0D75A65274D7,http://robertjgraham.com/?p=13819; http://articles.philly.com/2014-07-18/news/51663609_1_data-breach-social-security-numbers-identity-theft,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
25,25,united states department of veterans affairs,Yes,Unknown,US,,30.0,3.0,2012,Misdelivery,,,,,MS,,,,00D1A6FE-C334-4305-936E-86AC47128473,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
30,30,hellgate high school,Yes,Unknown,US,,4.0,12.0,2015,Misdelivery,,,,,MT,,,,9CA132C5-CA27-4D20-ACD9-F8EAFE1E3067,http://www.databreaches.net/mt-hellgate-high-data-breach-reveals-confidential-student-information/; http://www.databreaches.net/hellgate-high-data-breach-included-records-of-former-deceased-students/; http://newstalkkgvo.com/hellgate-high-data-breach-reveals-confidential-student-information/; http://www.nbcmontana.com/news/mcps-holds-press-conference-for-data-breach/36860132; http://www.krtv.com/story/30700099/missoula-schools-data-breach-included-info-on-family-abuse-developmental-disabilities-disciplinary-actions; http://missoulian.com/news/local/user-error-caused-hellgate-high-data-breach-lmg-security-analysis/article_44a5e3fe-e0e4-5db4-8d3f-fa68e95e9302.html,,101 to 1000,,611110,19021,,,,,,,,,,Unknown,Confirmed,61,611,Unknown,611110,Elementary and Secondary Schools
32,32,combined systems,Yes,Unknown,US,,14.0,2.0,2012,,Unknown,,,,PA,,,,00EC558C-0CB9-4574-9187-9A483335EF84,http://www.examiner.com/article/anonymous-strikes-war-profiteering-tear-gas-manufacturer-combined-systems,,101 to 1000,,332993,19021,,,,,,,,,,Unknown,Confirmed,33,332,Unknown,332993,Ammunition (except Small Arms) Manufacturing
